# Logfile created on 2026-09-04 10:44:44 +0200 by logger.rb/v1.5.3
2026-09-04 10:44:44 +0200: Memory Usage (457116K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/AION_inv_nand2_nor2_1.gds
2026-09-04 10:44:44 +0200: Memory Usage (457116K) : Ruby Version for klayout: 3.2.3
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : Loading database to memory is complete.
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/drc/AION_inv_nand2_nor2_1.klayout.drc/AION_inv_nand2_nor2_1_AION_inv_nand2_nor2_1_vian.lyrdb
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : Evaluate switches.
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : tables selected: vian
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : deep mode is enabled.
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : FEOL enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : BEOL enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : OFFGRID enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : ANGLE enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : PIN enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : FORBIDDEN enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : RECOMMENDED enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : PreCheck DRC enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : CONNECTIVITY_RULES enabled: false.
2026-09-04 10:44:44 +0200: Memory Usage (458104K) : Read in polygons from layers.
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_drw has 4 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_mask has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_iopc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : activ_noqrc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : biwind_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : biwind_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : pemwind_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_drw has 8 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_iopc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : gatpoly_noqrc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459064K) : cont_drw has 32 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : cont_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : nsd_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : nsd_block has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : metal1_drw has 18 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : metal1_pin has 6 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459224K) : metal1_mask has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459384K) : metal1_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459384K) : metal1_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459384K) : metal1_slit has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459736K) : metal1_text has 6 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459736K) : metal1_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459736K) : metal1_noqrc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459896K) : metal1_res has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459896K) : metal1_iprobe has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459896K) : metal1_diffprb has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460056K) : passiv_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460056K) : passiv_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460056K) : passiv_sbump has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : passiv_pillar has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : passiv_pdl has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_mask has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_slit has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_text has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460216K) : metal2_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : metal2_noqrc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : metal2_res has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : metal2_iprobe has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : metal2_diffprb has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : baspoly_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : baspoly_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460536K) : psd_drw has 2 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460696K) : nldb_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460696K) : digibnd_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460696K) : via1_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460856K) : backmetal1_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460856K) : backmetal1_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (460856K) : backmetal1_mask has 0 polygons
